id,Site,Date,Atelier,Chaine,Activite,Objectif,Min_Produit,Min_Pres,Rend,Ecart,Qte,Min_Moyen,Absence,Ajouter,Semaine
1,POLEX,1/2/2020,,PG1,Confection,0.62,5877,11115,0.53,-0.09,383,15.34464752,0.09,TAREK,1
1,POLEX,1/2/2020,P1,PG1,Confection,0.62,5877,11115,0.53,-0.09,383,15.34464752,0.09,TAREK,1
2,Pg3,1/2/2020,P1,PG2,Confection,0.62,5770,11715,0.49,-0.13,400,14,0.09,TAREK,1
2,POLEX,1/2/2020,P1,PG2,Confection,0.62,5770,11715,0.49,-0.13,400,14,0.09,TAREK,1
3,POLEX,1/2/2020,P1,PG3,Confection,0.62,5165,7590,0.68,0.06,426,12,0.09,TAREK,1
4,POLEX,1/2/2020,P1,,Confection,0.62,4448,10485,0.42,-0.2,381,12,0.09,TAREK,1
5,POLEX,1/2/2020,,PG5,Confection,0.62,5426,9375,0.58,-0.04,294,18,0.09,TAREK,1
6,POLEX,1/2/2020,P1,PG6,Confection,0.62,6095,10710,0.57,-0.05,522,12,0.09,TAREK,1
7,POLEX,1/2/2020,P2,TG1,,0.62,6361,10200,0.62,0,359,18,0.06,TAREK,1
8,,1/2/2020,P2,TG2,Confection,0.62,8020,12240,0.66,0.04,240,33,0.06,TAREK,
9,POLEX,1/2/2020,P2,TG4,Confection,0.62,3543,8940,0.4,-0.22,174,20,0.06,TAREK,1
10,POLEX,1/2/2020,P2,TG5,Confection,0.62,6137,9690,0.63,0.01,418,15,0.06,,1
11,POLEX,1/2/2020,,TG6,Confection,0.62,6117,10200,0.6,-0.02,354,17,0.06,TAREK,1
12,SOTUINTEX,1/2/2020,A,A1,Confection,0.5,15853,24223,0.65,0.15,725,22,0.15,Mehdi,1
13,SOTUINTEX,1/2/2020,A,A2,Confection,0.5,12024,25073,0.48,-0.02,754,16,0.04,Mehdi,1
14,SOTUINTEX,1/2/2020,,A3,Confection,0.5,0,25059,0,-0.5,0,0,0.04,Mehdi,1
15,SOTUINTEX,1/2/2020,B,B1,Confection,0.5,3843,22802,0.17,-0.33,61,63,0.02,Mehdi,1
16,SOTUINTEX,1/2/2020,,B2,Confection,0.5,6025,13637,0.44,-0.06,250,24,0.11,,1
17,SOTUINTEX,1/2/2020,B,B3,Confection,0.5,2775,5018,0.55,0.05,300,9,0.3,Mehdi,1
18,SOTUINTEX,1/2/2020,C,,Confection,0.5,10498,28807,0.36,-0.14,181,58,0.07,Mehdi,1
19,,1/2/2020,C,C2,Confection,0.5,15480,28473,0.54,0.04,344,45,0.05,Mehdi,1
20,SOTUINTEX,1/2/2020,C,C3,Confection,0.5,16480,29080,0.57,0.07,320,52,0.05,Mehdi,1
21,FINO INTER,1/2/2020,FINITION,FINITION,,0.7,8400,12480,0.67,-0.03,840,10,0.31,TAREK,1
22,FINO INTER,1/2/2020,EFFET Speciaux,EFFET Speciaux,Lavage,0.7,12018,16800,0.72,0.02,4042,3,0.03,TAREK,1
23,MCM,1/2/2020,MCM,MCM,Confection,0.5,17851.3,35400,0.5,0,1780,10.0288,0.14,TAREK,1
24,TFG,1/2/2020,TFG,TFG,Confection,0.45,,40800,0.41,-0.04,1581,10.6417,0.14,TAREK,1
25,ATS,1/2/2020,ATS,ATS,Confection,0.4,12952,34710,0.37,-0.03,993,13.0433,0.09,TAREK,1
26,TUNITEX,1/2/2020,A2,Section 2,Confection,0.57,18402.7,33630,0.55,-0.02,1468,12.5359,0.19,TAREK,1
27,TUNITEX,1/2/2020,A3,Section 1,Confection,0.57,16420.4,31050,0.53,-0.04,1431,11.4748,0.25,TAREK,1
28,TUNITEX,1/2/2020,A3,Section 2,Confection,0.57,22386.1,37845,0.59,0.02,1217,18.3945,0.08,,1
29,TUNITEX,1/2/2020,A1,A1,Confection,0.57,18046.7,35595,0.51,-0.06,1432,12.6024,0.13,TAREK,1
30,,1/2/2020,A2,Section 1,Confection,0.57,20925.9,34350,0.61,0.04,1516,13.8033,0.15,TAREK,1
31,TMT,,M1,M1,Confection,0.57,33354,55832,0.6,0.03,2046,16,0.17,TAREK,1
32,TMT,1/2/2020,M2,,Confection,0.57,16240,28316,0.57,0,2337,7,0.13,TAREK,1
33,POLEX,1/3/2020,P1,PG1,Confection,0.62,7048,11385,0.62,0,459,15,0.1,TAREK,1
34,POLEX,1/3/2020,P1,PG2,Confection,0.62,6058,11220,0.54,-0.08,420,14,0.1,TAREK,1
35,POLEX,1/3/2020,P1,PG3,Confection,0.62,4487,7080,0.63,0.01,370,12,0.1,TAREK,1
